"event"	"age"	"PDF"	"CDF"
"Event 9"	"-3697.5"	"2.36949841634573e-07"	"1.94295870142355e-05"
"Event 9"	"-3696.5"	"2.36949841634573e-07"	"1.96665368558701e-05"
"Event 9"	"-3695.5"	"0"	"1.96665368558701e-05"
"Event 9"	"-3694.5"	"0"	"1.96665368558701e-05"
"Event 9"	"-3693.5"	"0"	"1.96665368558701e-05"
"Event 9"	"-3692.5"	"2.36949841634573e-07"	"1.99034866975047e-05"
"Event 9"	"-3691.5"	"2.36949841634573e-07"	"2.01404365391392e-05"
"Event 9"	"-3690.5"	"7.10799524937138e-07"	"2.08512360640764e-05"
"Event 9"	"-3689.5"	"4.73899683269147e-07"	"2.13251357473455e-05"
"Event 9"	"-3688.5"	"0"	"2.13251357473455e-05"
"Event 9"	"-3687.5"	"2.36949841634573e-07"	"2.15620855889801e-05"
"Event 9"	"-3686.5"	"2.36949841634573e-07"	"2.17990354306147e-05"
"Event 9"	"-3685.5"	"4.73899683269147e-07"	"2.22729351138838e-05"
"Event 9"	"-3684.5"	"0"	"2.22729351138838e-05"
"Event 9"	"-3683.5"	"2.36949841634573e-07"	"2.25098849555184e-05"
"Event 9"	"-3682.5"	"9.47799366538293e-07"	"2.34576843220567e-05"
"Event 9"	"-3681.5"	"0"	"2.34576843220567e-05"
"Event 9"	"-3680.5"	"0"	"2.34576843220567e-05"
"Event 9"	"-3679.5"	"0"	"2.34576843220567e-05"
"Event 9"	"-3678.5"	"2.36949841634573e-07"	"2.36946341636913e-05"
"Event 9"	"-3677.5"	"0"	"2.36946341636913e-05"
"Event 9"	"-3676.5"	"1.41969905114414e-06"	"2.51143332148354e-05"
"Event 9"	"-3675.5"	"7.10799524937138e-07"	"2.58251327397725e-05"
"Event 9"	"-3674.5"	"7.10799524937138e-07"	"2.65359322647097e-05"
"Event 9"	"-3673.5"	"4.73899683269147e-07"	"2.70098319479788e-05"
"Event 9"	"-3672.5"	"9.47799366538293e-07"	"2.79576313145171e-05"
"Event 9"	"-3671.5"	"2.36949841634573e-07"	"2.81945811561517e-05"
"Event 9"	"-3670.5"	"4.73899683269147e-07"	"2.86684808394208e-05"
"Event 9"	"-3669.5"	"7.10799524937138e-07"	"2.9379280364358e-05"
"Event 9"	"-3668.5"	"0"	"2.9379280364358e-05"
"Event 9"	"-3667.5"	"2.36949841634573e-07"	"2.96162302059925e-05"
"Event 9"	"-3666.5"	"2.36949841634573e-07"	"2.98531800476271e-05"
"Event 9"	"-3665.5"	"2.36949841634573e-07"	"3.00901298892617e-05"
"Event 9"	"-3664.5"	"2.36949841634573e-07"	"3.03270797308963e-05"
"Event 9"	"-3663.5"	"4.73899683269147e-07"	"3.08009794141654e-05"
"Event 9"	"-3662.5"	"2.36949841634573e-07"	"3.10379292558e-05"
"Event 9"	"-3661.5"	"0"	"3.10379292558e-05"
"Event 9"	"-3660.5"	"0"	"3.10379292558e-05"
"Event 9"	"-3659.5"	"4.73899683269147e-07"	"3.15118289390691e-05"
"Event 9"	"-3658.5"	"7.10799524937138e-07"	"3.22226284640063e-05"
"Event 9"	"-3657.5"	"4.73899683269147e-07"	"3.26965281472754e-05"
"Event 9"	"-3656.5"	"7.10799524937138e-07"	"3.34073276722125e-05"
"Event 9"	"-3655.5"	"7.10799524937138e-07"	"3.41181271971497e-05"
"Event 9"	"-3654.5"	"2.36949841634573e-07"	"3.43550770387843e-05"
"Event 9"	"-3653.5"	"2.36949841634573e-07"	"3.45920268804188e-05"
"Event 9"	"-3652.5"	"9.47799366538293e-07"	"3.55398262469571e-05"
"Event 9"	"-3651.5"	"4.73899683269147e-07"	"3.60137259302263e-05"
"Event 9"	"-3650.5"	"4.73899683269147e-07"	"3.64876256134954e-05"
"Event 9"	"-3649.5"	"0"	"3.64876256134954e-05"
"Event 9"	"-3648.5"	"0"	"3.64876256134954e-05"
"Event 9"	"-3647.5"	"2.36949841634573e-07"	"3.672457545513e-05"
"Event 9"	"-3646.5"	"7.10799524937138e-07"	"3.74353749800671e-05"
"Event 9"	"-3645.5"	"4.73899683269147e-07"	"3.79092746633363e-05"
"Event 9"	"-3644.5"	"4.73899683269147e-07"	"3.83831743466054e-05"
"Event 9"	"-3643.5"	"2.36949841634573e-07"	"3.862012418824e-05"
"Event 9"	"-3642.5"	"0"	"3.862012418824e-05"
"Event 9"	"-3641.5"	"0"	"3.862012418824e-05"
"Event 9"	"-3640.5"	"0"	"3.862012418824e-05"
"Event 9"	"-3639.5"	"1.18269920954298e-06"	"3.9802823397783e-05"
"Event 9"	"-3638.5"	"2.36949841634573e-07"	"4.00397732394176e-05"
"Event 9"	"-3637.5"	"9.47799366538293e-07"	"4.09875726059558e-05"
"Event 9"	"-3636.5"	"4.73899683269147e-07"	"4.1461472289225e-05"
"Event 9"	"-3635.5"	"7.10799524937138e-07"	"4.21722718141621e-05"
"Event 9"	"-3634.5"	"1.18269920954298e-06"	"4.33549710237051e-05"
"Event 9"	"-3633.5"	"2.36949841634573e-07"	"4.35919208653397e-05"
"Event 9"	"-3632.5"	"4.73899683269147e-07"	"4.40658205486088e-05"
"Event 9"	"-3631.5"	"9.47799366538293e-07"	"4.50136199151471e-05"
"Event 9"	"-3630.5"	"2.36949841634573e-07"	"4.52505697567817e-05"
"Event 9"	"-3629.5"	"2.36949841634573e-07"	"4.54875195984163e-05"
"Event 9"	"-3628.5"	"7.10799524937138e-07"	"4.61983191233534e-05"
"Event 9"	"-3627.5"	"0"	"4.61983191233534e-05"
"Event 9"	"-3626.5"	"2.36949841634573e-07"	"4.6435268964988e-05"
"Event 9"	"-3625.5"	"1.18269920954298e-06"	"4.7617968174531e-05"
"Event 9"	"-3624.5"	"4.73899683269147e-07"	"4.80918678578001e-05"
"Event 9"	"-3623.5"	"4.73899683269147e-07"	"4.85657675410693e-05"
"Event 9"	"-3622.5"	"4.73899683269147e-07"	"4.90396672243384e-05"
"Event 9"	"-3621.5"	"2.36949841634573e-07"	"4.9276617065973e-05"
"Event 9"	"-3620.5"	"4.73899683269147e-07"	"4.97505167492421e-05"
"Event 9"	"-3619.5"	"0"	"4.97505167492421e-05"
"Event 9"	"-3618.5"	"1.18269920954298e-06"	"5.09332159587851e-05"
"Event 9"	"-3617.5"	"9.47799366538293e-07"	"5.18810153253234e-05"
"Event 9"	"-3616.5"	"2.36949841634573e-07"	"5.2117965166958e-05"
"Event 9"	"-3615.5"	"4.73899683269147e-07"	"5.25918648502271e-05"
"Event 9"	"-3614.5"	"2.36949841634573e-07"	"5.28288146918617e-05"
"Event 9"	"-3613.5"	"7.10799524937138e-07"	"5.35396142167988e-05"
"Event 9"	"-3612.5"	"0"	"5.35396142167988e-05"
"Event 9"	"-3611.5"	"7.10799524937138e-07"	"5.4250413741736e-05"
"Event 9"	"-3610.5"	"4.73899683269147e-07"	"5.47243134250051e-05"
"Event 9"	"-3609.5"	"4.73899683269147e-07"	"5.51982131082743e-05"
"Event 9"	"-3608.5"	"2.36949841634573e-07"	"5.54351629499088e-05"
"Event 9"	"-3607.5"	"9.47799366538293e-07"	"5.63829623164471e-05"
