"event"	"age"	"PDF"	"CDF"
"Event 16"	"-1593.5"	"0.0281949346300441"	"0.30881615680974"
"Event 16"	"-1592.5"	"0.0293219320171006"	"0.338138088826841"
"Event 16"	"-1591.5"	"0.0298829307164251"	"0.368021019543266"
"Event 16"	"-1590.5"	"0.030036930359377"	"0.398057949902643"
"Event 16"	"-1589.5"	"0.0303479296383251"	"0.428405879540968"
"Event 16"	"-1588.5"	"0.0298859307094697"	"0.458291810250438"
"Event 16"	"-1587.5"	"0.0292249322419946"	"0.487516742492433"
"Event 16"	"-1586.5"	"0.0288579330928821"	"0.516374675585315"
"Event 16"	"-1585.5"	"0.0282689344584755"	"0.54464361004379"
"Event 16"	"-1584.5"	"0.027719935731329"	"0.572363545775119"
"Event 16"	"-1583.5"	"0.0267359380127277"	"0.599099483787847"
"Event 16"	"-1582.5"	"0.0259109399254858"	"0.625010423713333"
"Event 16"	"-1581.5"	"0.024836942415549"	"0.649847366128882"
"Event 16"	"-1580.5"	"0.0238219447688211"	"0.673669310897703"
"Event 16"	"-1579.5"	"0.0227009473678535"	"0.696370258265556"
"Event 16"	"-1578.5"	"0.0215899499437011"	"0.717960208209257"
"Event 16"	"-1577.5"	"0.0207259519468804"	"0.738686160156138"
"Event 16"	"-1576.5"	"0.0196319544833135"	"0.758318114639451"
"Event 16"	"-1575.5"	"0.0185549569803322"	"0.776873071619783"
"Event 16"	"-1574.5"	"0.0176379591063918"	"0.794511030726175"
"Event 16"	"-1573.5"	"0.0164109619511847"	"0.81092199267736"
"Event 16"	"-1572.5"	"0.015352964404152"	"0.826274957081512"
"Event 16"	"-1571.5"	"0.0143509667272836"	"0.840625923808796"
"Event 16"	"-1570.5"	"0.0134069689159426"	"0.854032892724738"
"Event 16"	"-1569.5"	"0.0124539711254679"	"0.866486863850206"
"Event 16"	"-1568.5"	"0.0119029724029585"	"0.878389836253165"
"Event 16"	"-1567.5"	"0.0109239746727647"	"0.889313810925929"
"Event 16"	"-1566.5"	"0.0103939759015669"	"0.899707786827496"
"Event 16"	"-1565.5"	"0.00961897769840021"	"0.909326764525896"
