"event"	"age"	"PDF"	"CDF"
"PC_C"	"607.5"	"0"	"0"
"PC_C"	"608.5"	"2.60699477062919e-06"	"2.60699477062919e-06"
"PC_C"	"609.5"	"8.84598225584419e-06"	"1.14529770264734e-05"
"PC_C"	"610.5"	"7.82098431188757e-06"	"1.92739613383609e-05"
"PC_C"	"611.5"	"1.77139644675587e-05"	"3.69879258059196e-05"
"PC_C"	"612.5"	"2.23929550819714e-05"	"5.9380880887891e-05"
"PC_C"	"613.5"	"2.70719456963841e-05"	"8.64528265842752e-05"
"PC_C"	"614.5"	"4.11499174573806e-05"	"0.000127602744041656"
"PC_C"	"615.5"	"6.40598715023038e-05"	"0.000191662615543959"
"PC_C"	"616.5"	"9.16698161195158e-05"	"0.000283332431663475"
"PC_C"	"617.5"	"0.000115109769101314"	"0.000398442200764789"
"PC_C"	"618.5"	"0.000151049697009413"	"0.000549491897774202"
"PC_C"	"619.5"	"0.000215109568511716"	"0.000764601466285919"
"PC_C"	"620.5"	"0.000243229512105922"	"0.00100783097839184"
"PC_C"	"621.5"	"0.00030521938776043"	"0.00131305036615227"
"PC_C"	"622.5"	"0.000411499174573806"	"0.00172454954072608"
"PC_C"	"623.5"	"0.000485899025335145"	"0.00221044856606122"
"PC_C"	"624.5"	"0.000594298807896021"	"0.00280474737395724"
"PC_C"	"625.5"	"0.000719798556156076"	"0.00352454593011332"
"PC_C"	"626.5"	"0.000882798229195032"	"0.00440734415930835"
"PC_C"	"627.5"	"0.00104529790323694"	"0.00545264206254529"
"PC_C"	"628.5"	"0.00122239754799276"	"0.00667503961053804"
"PC_C"	"629.5"	"0.00146979705173409"	"0.00814483666227214"
"PC_C"	"630.5"	"0.00162399674242493"	"0.00976883340469707"
"PC_C"	"631.5"	"0.00186349626201285"	"0.0116323296667099"
"PC_C"	"632.5"	"0.00219739559224418"	"0.0138297252589541"
"PC_C"	"633.5"	"0.00241459515656357"	"0.0162443204155177"
"PC_C"	"634.5"	"0.00274689449000434"	"0.018991214905522"
"PC_C"	"635.5"	"0.00312079373999984"	"0.0221120086455219"
"PC_C"	"636.5"	"0.00351699294526385"	"0.0256290015907857"
"PC_C"	"637.5"	"0.00370799256213772"	"0.0293369941529234"
"PC_C"	"638.5"	"0.00409599178385008"	"0.0334329859367735"
"PC_C"	"639.5"	"0.00455599086113793"	"0.0379889767979114"
"PC_C"	"640.5"	"0.00502498992037272"	"0.0430139667182842"
"PC_C"	"641.5"	"0.00553198890338346"	"0.0485459556216676"
"PC_C"	"642.5"	"0.00594898806692484"	"0.0544949436885925"
"PC_C"	"643.5"	"0.00636098724049569"	"0.0608559309290881"
"PC_C"	"644.5"	"0.00690298615330007"	"0.0677589170823882"
"PC_C"	"645.5"	"0.00749498496580966"	"0.0752539020481979"
"PC_C"	"646.5"	"0.00798898397489704"	"0.0832428860230949"
"PC_C"	"647.5"	"0.00872498249855761"	"0.0919678685216525"
"PC_C"	"648.5"	"0.00939198116062499"	"0.101359849682278"
"PC_C"	"649.5"	"0.0102879793633422"	"0.11164782904562"
"PC_C"	"650.5"	"0.0108669782019284"	"0.122514807247548"
"PC_C"	"651.5"	"0.0116629766052352"	"0.134177783852783"
"PC_C"	"652.5"	"0.0124019751228781"	"0.146579758975661"
"PC_C"	"653.5"	"0.0133969731270116"	"0.159976732102673"
"PC_C"	"654.5"	"0.0141809715543892"	"0.174157703657062"
"PC_C"	"655.5"	"0.0149789699536842"	"0.189136673610746"
"PC_C"	"656.5"	"0.0156939685194685"	"0.204830642130215"
"PC_C"	"657.5"	"0.016822966254812"	"0.221653608385027"
"PC_C"	"658.5"	"0.0174009650954041"	"0.239054573480431"
"PC_C"	"659.5"	"0.0180899637133418"	"0.257144537193773"
"PC_C"	"660.5"	"0.0187499623894504"	"0.275894499583223"
"PC_C"	"661.5"	"0.0193499611859129"	"0.295244460769136"
"PC_C"	"662.5"	"0.0197779603273894"	"0.315022421096526"
"PC_C"	"663.5"	"0.0203779591238518"	"0.335400380220377"
"PC_C"	"664.5"	"0.0208519581730571"	"0.356252338393434"
"PC_C"	"665.5"	"0.0212659573426162"	"0.377518295736051"
"PC_C"	"666.5"	"0.0213689571360089"	"0.398887252872059"
"PC_C"	"667.5"	"0.021696956478075"	"0.420584209350134"
"PC_C"	"668.5"	"0.0219359559986659"	"0.4425201653488"
"PC_C"	"669.5"	"0.0220729557238581"	"0.464593121072658"
"PC_C"	"670.5"	"0.0220939556817343"	"0.486687076754393"
"PC_C"	"671.5"	"0.0221629555433275"	"0.50885003229772"
"PC_C"	"672.5"	"0.0222819553046259"	"0.531131987602346"
"PC_C"	"673.5"	"0.0222099554490504"	"0.553341943051396"
"PC_C"	"674.5"	"0.0221079556536518"	"0.575449898705048"
"PC_C"	"675.5"	"0.0219289560127071"	"0.597378854717755"
"PC_C"	"676.5"	"0.0218259562193144"	"0.61920481093707"
"PC_C"	"677.5"	"0.0216879564961281"	"0.640892767433198"
"PC_C"	"678.5"	"0.0210889576976598"	"0.661981725130858"
"PC_C"	"679.5"	"0.0209999578761845"	"0.682981683007042"
"PC_C"	"680.5"	"0.0206849585080417"	"0.703666641515084"
"PC_C"	"681.5"	"0.0202399594006654"	"0.723906600915749"
"PC_C"	"682.5"	"0.0194459609933468"	"0.743352561909096"
"PC_C"	"683.5"	"0.0187929623031969"	"0.762145524212293"
"PC_C"	"684.5"	"0.0179629639680906"	"0.780108488180383"
"PC_C"	"685.5"	"0.0173459652057284"	"0.797454453386112"
"PC_C"	"686.5"	"0.0163359672316833"	"0.813790420617795"
"PC_C"	"687.5"	"0.0155679687722114"	"0.829358389390007"
"PC_C"	"688.5"	"0.0146539706056004"	"0.844012359995607"
"PC_C"	"689.5"	"0.0138199722785176"	"0.857832332274125"
"PC_C"	"690.5"	"0.013006973909311"	"0.870839306183436"
"PC_C"	"691.5"	"0.0122029755220514"	"0.883042281705487"
"PC_C"	"692.5"	"0.0113219772892458"	"0.894364258994733"
"PC_C"	"693.5"	"0.010506978924051"	"0.904871237918784"
"PC_C"	"694.5"	"0.00959698074941631"	"0.9144682186682"
"PC_C"	"695.5"	"0.00902698189277702"	"0.923495200560977"
"PC_C"	"696.5"	"0.00826298342528155"	"0.931758183986259"
"PC_C"	"697.5"	"0.0075309848935974"	"0.939289168879856"
"PC_C"	"698.5"	"0.00681898632179534"	"0.946108155201651"
"PC_C"	"699.5"	"0.006238987485215"	"0.952347142686866"
"PC_C"	"700.5"	"0.00568998858645189"	"0.958037131273318"
"PC_C"	"701.5"	"0.00498698999659677"	"0.963024121269915"
"PC_C"	"702.5"	"0.00453099091128533"	"0.9675551121812"
"PC_C"	"703.5"	"0.00396099205464604"	"0.971516104235846"
